date,var1,var2
01/1989,3.544199997,7.111479188
02/1989,0.80990533,-2.89440952
03/1989,1.086711615,2.080592675
04/1989,0.414192016,5.008987011
05/1989,3.539353789,3.513757912
06/1989,2.424529798,-0.792462249
07/1989,-3.832567657,8.837033776
08/1989,1.224456862,1.551664355
09/1989,1.451773615,-0.65443164
10/1989,-2.914051681,-2.517542603
11/1989,-0.941301153,1.65413092
12/1989,-3.129635124,2.141680395
01/1990,-2.019350113,-6.88172043
02/1990,-0.820644577,0.853895709
03/1990,1.9872608,2.425502426
04/1990,-0.549562657,-2.688709772
05/1990,-1.644477121,9.198911729
06/1990,0.521714568,-0.888630512
07/1990,-2.961692211,-0.522317189
08/1990,-3.531871515,-9.431419346
09/1990,-0.631686848,-5.118427579
10/1990,-2.995487854,-0.669825192
11/1990,-1.604702453,5.993421053
12/1990,1.22915838,2.482775743
01/1991,0.433852095,4.151777603
02/1991,-1.711224496,6.728113279
03/1991,6.968739176,2.220284959
04/1991,4.159250631,0.034646341
05/1991,0.822302141,3.857732783
06/1991,3.360618535,-4.789267116
07/1991,-0.084540619,4.485935984
08/1991,-1.770118678,1.964879709
09/1991,-2.416550341,-1.914371697
10/1991,-0.601298906,1.185994947
11/1991,-2.910817145,-4.392804362
12/1991,-2.697216048,11.15878685
01/1992,0.29476187,-1.989978182
02/1992,2.428301322,0.956481323
03/1992,2.636903153,-2.183183911
04/1992,-0.617315905,2.789268994
05/1992,-1.589244782,0.096397156
06/1992,-2.645197088,-1.735885398
07/1992,-4.066721303,3.93737443
08/1992,-1.78697724,-2.399754838
09/1992,1.021691849,0.910562037
10/1992,3.383724948,0.210627094
11/1992,6.081623438,3.02617751
12/1992,0.669410763,1.010780109
01/1993,2.111549372,0.704597094
02/1993,1.54063822,1.048361366
03/1993,-0.09817632,1.869727999
04/1993,-3.286635502,-2.541678659
05/1993,-0.41440432,2.271746291
06/1993,1.462628412,0.075523668
07/1993,3.166997789,-0.532705924
08/1993,-0.121315518,3.443197287
09/1993,-2.434999676,-0.998791958
10/1993,1.204213975,1.939293574
11/1993,2.445278069,-1.291067268
12/1993,0.349943801,1.009116698
01/1994,0.861478877,3.250080394
02/1994,-0.83148158,-3.00450572
03/1994,-1.431329442,-4.574645716
04/1994,-0.011018543,1.153060996
05/1994,-1.674395538,1.239715243
06/1994,-1.206398586,-2.679079956
07/1994,-2.833578963,3.148985977
08/1994,0.119095771,3.759874307
09/1994,-1.145162776,-2.691959873
10/1994,-1.634184219,2.087790962
11/1994,0.984105332,-3.950460464
12/1994,2.279261061,1.229914699
01/1995,-1.421168005,2.427765802
02/1995,-1.136416905,3.607414651
03/1995,-4.055116598,2.732924352
04/1995,-2.497277186,2.796029638
05/1995,1.250768179,3.631170951
06/1995,-0.625013759,2.127859018
07/1995,-0.382808417,3.177604406
08/1995,3.173115626,-0.032025051
09/1995,1.514207979,4.009752972
10/1995,-1.960668374,-0.497938091
11/1995,-0.018944108,4.104901118
12/1995,1.181253686,1.74438773
01/1996,1.209731352,3.261734288
02/1996,0.320813457,0.693374422
03/1996,0.210883112,0.791655606
04/1996,1.05935822,1.343144849
05/1996,0.948249878,2.285338673
